,0,1,2,3,4,5,6,7,8,9,10,11
421,ABDFFFH,ABCDGGH,ABEGGGF,HGFECBA,DBABEGH,ABDEFGH,AACEGGG,GGGFDBA,HGFECBA,ABCEFGH,CAEHGCC,HGFEBCA
422,ACFGHDC,HGBAEEB,EGFCABG,BBBEGHG,AFGGFDA,BACEGHF,HGDBBCD,ABEHGEE,GGGFCAA,ABDEDGH,HGDABDF,CFHCADG
423,ABBGGGF,HFGECBA,GFGFDAA,GGGFCAA,CBACFHH,BBCCDGH,DFHGDBA,AACEFGH,HHFCBBC,HGFDBAB,GHEEDBA,BBBDEGH
424,ABCEFGH,ABDGGGE,ABFHGDE,HGGEDBA,HGFDCBA,ABCEFGH,BBBCEGH,ADGGFDC,GGFFDBA,HFBBCDE,ABCDFHH,BGGGFBA
425,ECADHGD,ACGHFCB,ABFHGEB,AACFHGE,CACCFHH,HGDACCE,EBADHGD,ADGGGDB,BACFHHE,DDBBDGH,HFCABDG,HHFBBBC
426,BDDCBFH,HGFDCAA,ACGHGDB,DBACEGH,HHFDBAB,CABDEGH,BBGHDDB,HGDCDAC,HHEBACF,EGGGDBA,AACDFGH,HHFCABC
427,GHGEBBB,ABCEGGG,EFGGDCA,GGFEDBA,FCABDGH,ABCEFGH,HHFDCBA,HGFDCAA,ABCEGGH,AGGCCEG,BBBDGFH,HGFFCBA
428,EFCCBCH,FGGFCBA,GGGECAB,BBCCEGH,ABDEFGG,CCEGHFA,HGECBBC,AADFFGG,GEGFBBB,GHGBBBC,FCEBAFG,ABCDFGH
429,BABCGHG,ACGGEFD,FGHFCAA,ABCEFGH,ABDEFGG,HGFECBA,HGEDBBB,ABCEGGG,ABDGFEH,CBCFHFB,GBBGECF,GHFECBA
430,EFFDBAH,ABCFGGF,DBCEDCH,HGFEDBA,HEBACFG,ABCEFGH,ACGHGDB,HGFECBA,FDBACFH,ABEEGGG,BBBDGGH,GGFFDBA
431,ADEFCDH,FCHFCAF,HGFBDCA,HGFDBAB,ABCEFGH,ABDEFGH,FGHECBA,GGFFDBA,HGECBBD,ABCEFGG,HHCCCCB,ACFHBDG
432,ADCCHGE,HGFDCBA,GHGEBAC,HGEDABD,ABDFFGG,DCCBCGH,DFHGDBA,BABEGGG,ABBDGHG,DDFGGDA,FGHDABC,CABEFFH
433,HFCABFE,BABDGGH,EHGDCAC,FDBADGH,HGEDBAC,HGEDBBB,ABEGHFD,GECAAFH,ADEBDHH,GHFEAAD,CBBCEHH,HGGDBBC
434,ECACHGC,BABEHHF,DBABEHH,GDABCEH,HFCBDCD,HGEBCBC,CABFHGD,AFECFCG,FHGDBDA,DFHGDAA,ABDGHFB,ABBEGHG
435,ABCEEHH,HHEBEBB,DDGGFCA,HGFEBAB,ABCDFGH,ACDFGFG,AAEHGFF,EGFGFBA,HGFDCBA,ABCDFGH,ABDFGHG,DGHBDCC
436,AAEFDHF,EFHGEBA,AACEGHG,HGDBBBD,ABCEGGG,HGEABCE,ABDGHFE,HFCAAEG,FFGGEBA,EGGGDAA,ABCEGHF,CABDGHG
437,GCCEHDA,ABDEGHG,GDGEABG,GHFDDBA,HHFCABC,ABCEFGH,GHFDCBA,HGECBAD,ABDGFEG,DEHHEBA,BGEBBDH,HGEDCAA
438,HHFCBBC,GEEECCD,BCBCEGH,ABFFEFH,ABCDEGH,EDCGFGA,EBABFHF,HFCCCBB,HGECCBB,ABDDFFH,EDFGGCA,EEDEGCA
439,ADGHGDB,HFDFDBA,BBBCEHH,HGFDBBA,BBBDFGH,ABCFGGG,FGHFCBA,GGFEDBA,HGFDBBB,ABCDFGH,GHGCABC,CADGDEH
440,ABDFGGG,HGFECBA,HGFDCBA,BBBDFGH,ABDEGGG,HGFEDBA,DDHFABG,ABDEFGH,GGGFDBA,HGEDCBA,ABCDFGH,ABCEFGH
441,HGFDCAB,HHDECBB,EBDDCDH,ABCDFGH,ABCDFGH,HGGFBBB,FDECAEG,FAAEGGE,HHFDCBA,CGFEFBB,GFGABDF,EFGDFDA
442,FHGDACB,HECCEEB,EHFCDEA,HGGECAA,ABDEEGH,ABEFEGH,HFCBBDE,ABGEFEF,GGFECDA,HGGCCBA,ABDEEGG,DEFBEGC
443,CHHDCBB,HFEFBBA,HGECBBC,BBBDEHH,AACEGHG,DDEGHDA,DBBBDGH,ACDFFGG,GFFGDCA,HGFCCBA,HECACDG,AACDGGG
444,FFFFBAE,HHECBAC,GCFEBCF,ABCEFGH,AAFEFHG,EHEDEDA,BBBCEGH,HGFECBA,HGFFCBA,HGFCCCA,ABBEFGH,EFDGEDB
445,ECABHHD,BABEHGE,CBACFHH,ECABDGH,HGCABDF,HGBABDF,HEFGDBA,ADHGECC,BDGHFCA,BACFHGD,BBBDGHG,DABCEHH
