,0,1,2,3,4
202,DAABD,CCCCA,AACDC,AACDD,DDBAB
203,BDDBA,AABDD,DBAAD,DDCAA,AACDD
204,DBBBB,ABCDC,CAADD,BABDD,BBBBD
205,DACBC,AABDD,CCACD,DDBAA,BDDBA
206,DDCAA,DCAAD,CDDAA,BAACD,CBABD
207,CCBDA,DACCC,BCCBC,BDBDA,DADBB
208,ADDBB,DDBAA,AACDC,DCAAB,AACDD
209,DDCAA,AABDD,DDBAA,BDDBA,AABDD
210,DABBB,AACDD,DBACB,DDBAA,CCCAC
211,DDBAA,DCAAD,CDDAA,AADCD,BABDD
212,ADCCB,BCDCA,BABDD,DAACD,BCDDA
213,DDCAA,AABCD,CACDB,DDBAA,AACDD
214,DDCAA,AABDD,CAADC,DDCAA,AABDD
215,ABBCD,DDAAB,AADDC,DCAAC,CAACD
216,ACDCC,DBABD,DDDAA,DBAAD,CCCCA
217,DBAAC,ABDDA,CDAAC,CDCCA,DCBAC
218,AADDC,DCCAB,CDDAA,ABCDD,DDDAA
219,DDCAA,AACDD,DBCAB,DDCAA,AABDD
220,BABDD,DDCAA,ACDBA,AADCD,ABCBD
221,AACDD,ADDBA,CBABD,DDBAB,CCDAA
222,ABDDC,DBABD,ABDCB,DCAAD,CDCCA
223,DBABC,CDCBA,ABDDB,ABDCC,DCAAC
224,ACDCC,DBABD,DDCAA,AABDD,CCCCA
225,DCCAB,AABDD,BBADD,DDBAA,ACDBB
226,ABCDC,CDDBA,BABDD,CABCD,CAACD
227,DDCAA,AABDD,CBADD,DDCBA,AABDD
228,ACDCA,CAACD,BCBBD,DDCAA,ABCCD
229,BCDBA,ACDDB,CAACD,CAACD,BCDCA
230,ABCDC,DCAAC,BCDAA,CBABD,BCDCA
231,CAACD,DDCBA,ABDDB,AACDD,DDCAA
232,BCBCB,ADBBD,BBACD,CDDAA,CACDA
233,CDCAB,ABBDD,BCACD,ABDDB,BABCD
234,DDBAA,AACDD,DBBCB,DDCBA,BAACD
235,AADDC,DCBAB,BCDBA,CAACD,CDDAA
236,DDCAA,AABCD,DCDAA,DDCAA,AABCD
237,CAACD,DDCBA,BCDBA,AACDD,DDCAA
238,DBCBA,ABCDB,BABDD,DAACD,BBCBD
239,DCBAA,AACDD,DBABD,DDCAA,AABDD
240,DAACC,BCCAC,DAABD,ACDCB,CCDBA
241,DBACD,CDDBA,AACDC,ABCDD,DDBAB
242,CDDBA,AABDD,DCAAC,DDCAA,AACDD
243,CCCBA,CBAAD,CDDAA,BAACD,CCDBA
244,DCAAD,CAACD,BABDD,CDAAD,CADBC
245,BDDBA,BBADB,DBCAB,CBDCA,CABCC
246,DDBAA,AABDD,CBACD,DDCAA,AABCD
247,CDACA,ABBDD,DCCAC,DDBAB,ACACD
248,DDCAA,AACDD,CAADD,DDBAB,AACDD
249,CDCBA,CDBAC,ABDCB,DBABC,AABDD
250,BCCDA,ADCBB,BAADD,CDDBA,ABCCD
251,DDCAA,AACDD,DBABD,DDCAA,AABDD
252,CDDBA,AABDD,DCAAC,DDCAA,AACDD
253,AACDD,DCACA,ABDDB,AACCD,CDDAA
254,ABCDD,DDBAA,ACDCA,CAACD,CCCCA
255,BDDBA,AABDD,DBAAC,DDCAA,AACDD
256,CDBBA,ACBCD,CCDAC,DCBAA,ABBDD
257,ABCDC,DDBAA,ABDDC,DCABC,BCDCA
258,CBABD,CDBCA,CDCAA,ABDBC,DDBAA
259,CDCAB,CBACD,DDDAA,CBACD,DCBAA
260,CDCAB,CBACD,CAADD,DDCBA,BABCD
261,CDBAA,DDCAA,ACDCA,BABDD,CACCB
262,ABBDD,DCBAD,DDCAA,ABCDD,DDCAA
263,CACDC,DCBAB,AABDD,DDCAA,CDCBB
264,DCBAA,ADDBA,CDDAA,ADDBA,ABBCD
265,DABBC,AABCD,CDBAB,DDBAA,CBADC
266,DDCAA,ABACD,DBDBA,DDBAA,AABDD
267,BABDD,DDCAA,ACDCA,AACDC,BCCAB
268,AACDD,DDCBA,BABDC,AACDD,DDCBA
269,CDCBA,CADCB,BBABD,DCCBA,BBACD
270,DCCAA,AACDD,CBABD,DDBAA,AACDD
271,DDBAA,AABDD,DBDBA,DDBAA,AABCD
272,DCBAA,AACDD,CBACD,DBABC,BBCCB
273,DCBAB,ABCDD,DCABD,DDCBA,CCAAD
274,ABDDC,DDCAA,ACDCA,AACDD,DDCAA
275,ADDCA,DCDBA,AAADD,DDCAA,BAACD
276,DDCAA,BABDD,CDDAA,DCAAC,AABDD
277,BCBBC,BCBCC,BABDC,CBDAC,BCCBC
278,CAACD,CDDBA,BBDCA,ABCDD,DDBAA
279,BABDD,DDCBA,ABDDB,AACDD,DCBAA
280,ABCDD,DCAAC,AACDD,DCAAC,DCCBA
281,CDDBA,CDCAA,DDBAB,ACDDA,ABBDD
282,BCADC,ABDDB,ABCDB,BAADC,ACDCC
283,DACCB,AABDD,BBADC,DCBAA,DDCAA
284,DABDB,AABDD,BBACD,DDCAA,ACDCA
285,ABADD,DCCBA,AABDD,DCAAB,CDBBA
286,CDDBA,AABDD,DCAAC,DDCAA,AACDD
287,DCBAA,ABCCD,CDCAB,DDCBA,BABCD
288,DBABB,CDCBA,ABDCB,BACDD,DCBAC
289,CCCCA,BCAAD,AACDD,DCAAD,BADDB
290,BBCCB,ABDCD,DBACC,DBBBB,AABDD
291,ACDBD,BCDBA,AABCD,DDCAA,BBBDC
292,DDBAA,AABDD,DDBAB,DDCAA,AABDD
293,DDCAA,BAACD,CABDC,DDCAA,AABDD
294,DCCBA,AABDD,DDAAC,DDCAA,AABCD
295,DAACD,CCDCA,ABDDB,ABCDD,DDBAB
296,BBCAD,BACDC,AABDD,DCCAB,DABDB
297,DDBAA,CCCAD,CBDDA,DBACD,AABCD
298,DCBAB,CDDAA,AABDD,DBABC,ABBCD
299,CBBBC,DDBAA,ACDDB,AABDD,DABBB
300,DCBAA,AABDD,DCAAC,DDAAB,ABBCD
301,ABBDB,ADBBC,AABDD,DDCAA,DBBCA
302,DCBAB,ABCDC,CABDB,ADDBA,CBABD
303,BDDBA,AABDD,DCAAC,DDCAA,AACDD
304,BCABC,AADDC,AADDB,CCDBA,BDBCA
305,CAADD,CCCCA,ABDDB,AACDD,DDCAA
306,BDDAB,ABCBD,BDBAB,CCBCA,CACCB
307,CCBCA,CBADC,DCBAA,DCBDA,CADAC
308,CABCD,BABCD,ADBAD,DDCAA,BCDCA
309,DBBBB,AACDD,DBACB,DCBAA,DCBAB
310,BAACD,DCDBA,ACDCA,ABCDC,DDBAA
311,BBCBC,ADACB,CAACD,CBDAC,BDACD
312,DDBAA,ACDAB,AACDB,DBABC,AABDD
313,ABDBC,CACBD,ABDDB,CCBAD,DADCA
314,AACCD,DDBAB,ACDCA,AABDD,DCAAA
315,CDCAA,ACCBD,DAACC,AABDD,AACCD
316,DCCAB,AADDC,CDAAC,DBCDA,BCADD
317,BDACB,AACDD,DDBAA,CBDAC,CAADD
318,DDBAA,AACDD,DBCAC,DDCAA,AABDD
319,ABCDD,DDBAB,ACDCB,DBABD,CCDCA
320,DAACD,CBBAD,CBABD,DBBBB,DDBAB
321,CDCAB,ABBDD,DACBB,CDBAA,BCACD
322,DDBAA,AABCD,DBCAB,DDCAA,AABCD
323,DDCAA,ACDCA,AABDD,DDBAA,AABDD
324,ACDCB,DDCAA,ABCDC,BABDD,DCBCA
325,DDCAA,BDCAA,BCBAD,DCCCA,AACCD
326,ABCDD,DDBAA,BDDBA,AACDD,DCCBA
327,ABDCB,DBACB,BABDD,DCAAC,ABDAC
328,AACDD,DDBAB,ACDCB,BAACD,DDCBA
329,DCBAA,AACDD,DBACB,DDCBA,AABDD
330,BCDCA,AABDD,DDBAB,DDCAA,AABDD
331,CDDBA,AACDD,DCAAC,DDCAA,AACDD
332,CAACD,CCDCA,AACDC,ABDCB,CABBD
333,DBABC,BDDCA,AACDB,AACDD,DCAAD
334,ABCCD,DCAAC,ACDBB,DBABD,DDBAA
335,DDBBA,CBBAD,DBACC,CDBCA,AABDD
336,BBADD,BDDAA,ABDDB,ABBDD,CDCAA
337,DABAC,CDDBA,ACDCA,ABDDD,DBABC
338,DCBAA,AABDD,DCDAA,CDCBA,BAACD
